 46, 81,52.178
 46,132,45.270
 46, 10,143.808
 46, 40,76.903
 46, 14,79.958
 46,110,280.037
 46, 71,105.802
 46, 58,76.034
 46,  4,149.825
 81, 46,66.861
 81,132,152.320
 81, 10,59.876
 81, 40,161.893
 81, 14,167.471
 81,110,157.399
 81, 71,31.544
 81, 58,146.554
 81,  4,107.089
132, 46,171.601
132, 81,84.692
132, 10,104.068
132, 40,25.789
132, 14,57.231
132,110,280.019
132, 71,165.771
132, 58,58.003
132,  4,142.927
 10, 46,280.009
 10, 81,280.017
 10,132,280.031
 10, 40,180.286
 10, 14,62.724
 10,110,280.006
 10, 71,280.058
 10, 58,68.275
 10,  4,5.143
 40, 46,136.271
 40, 81,84.547
 40,132,86.632
 40, 10,101.204
 40, 14,32.841
 40,110,159.765
 40, 71,141.457
 40, 58,34.238
 40,  4,109.408
 14, 46,129.473
 14, 81,42.666
 14,132,45.344
 14, 10,58.324
 14, 40,78.341
 14,110,115.288
 14, 71,83.067
 14, 58,0.103
 14,  4,74.520
110, 46,149.453
110, 81,86.124
110,132,105.717
110, 10,71.887
110, 40,101.644
110, 14,7.498
110, 71,113.792
110, 58,7.570
110,  4,108.913
 71, 46,111.366
 71, 81,92.017
 71,132,147.735
 71, 10,265.154
 71, 40,203.289
 71, 14,206.186
 71,110,135.206
 71, 58,200.781
 71,  4,276.049
 58, 46,132.424
 58, 81,43.143
 58,132,46.019
 58, 10,65.520
 58, 40,69.549
 58, 14,0.127
 58,110,113.516
 58, 71,99.607
 58,  4,60.091
  4, 46,118.113
  4, 81,280.011
  4,132,146.402
  4, 10,101.522
  4, 40,162.973
  4, 14,209.494
  4,110,208.439
  4, 71,242.824
  4, 58,178.833
