  0,  1,26.169
  2,  3,10.255
  4,  5,11.997
  6,  2,2.317
  7,  4,2.678
  8,  6,10.705
  9,  7,12.656
 10, 11,10.894
 11, 12,2.678
 12,  1,12.544
 13, 14,7.982
 15, 16,5.408
 16, 17,23.318
 18, 19,5.408
 20, 18,23.318
 21, 22,9.881
 23, 22,14.778
 24, 25,0.019
 25, 26,13.533
 26, 27,0.019
 28, 29,7.741
 30, 31,13.155
 32, 33,5.004
 33, 34,8.022
 34, 31,5.041
 35, 36,3.540
 37, 35,8.022
 38, 37,5.072
 39, 40,0.013
 41, 42,0.013
 40, 43,0.026
 42, 44,0.026
 43, 45,0.013
 44, 46,0.013
 45, 47,20.493
 46, 48,20.493
 47, 49,0.013
 48, 50,0.013
 49, 51,0.026
 50, 52,0.026
 51, 53,0.013
 52, 54,0.013
 55, 56,0.013
 57, 58,0.013
 59, 55,0.026
 60, 57,0.026
 61, 59,0.013
 62, 60,0.013
 63, 61,20.493
 64, 62,20.493
 65, 63,0.013
 66, 64,0.013
 67, 65,0.026
 68, 66,0.026
 69, 67,0.013
 70, 68,0.013
 71, 72,21.285
 72, 54,0.013
 73, 74,0.014
 75, 73,11.058
 76, 75,0.013
 77, 76,0.026
 78, 77,0.013
 79, 58,11.029
 80, 81,0.014
 82, 80,21.217
 83, 82,0.026
 84, 83,0.013
 85, 86,21.285
 86, 56,0.013
 87, 81,0.014
 88, 87,11.058
 89, 88,0.013
 90, 89,0.026
 91, 90,0.013
 92, 93,0.014
 93, 94,28.033
 94, 74,0.014
 95, 81,0.014
 96, 95,28.033
 97, 96,0.014
 98, 99,0.022
100,101,0.019
 99,102,5.695
101,103,4.817
102,104,5.726
103,105,4.844
106,107,6.558
108,109,5.547
107,110,6.538
109,111,5.530
110,112,0.021
111,113,0.018
114,115,1.000
116,117,1.000
115,118,1.000
117,119,1.000
120,121,1.000
122,123,1.000
124,120,1.000
125,122,1.000
126,127,7.511
128,129,7.511
127,130,0.004
129,131,0.004
